ID,Degree,Closeness centrality,Clustering coefficient
324,2,0.2498862084660901,0
325,2,0.26547388781431336,0
326,3,0.23282442748091603,0
327,3,0.2297071129707113,0
328,2,0.25702247191011235,0
329,4,0.23859191655801826,0
330,3,0.30049261083743845,0.3333333333333333
331,4,0.25666199158485276,0
332,2,0.24965893587994542,0
333,2,0.27313432835820894,0
334,3,0.3112244897959184,0.3333333333333333
335,2,0.3048306496390894,0
336,3,0.2395287958115183,0
337,2,0.23766233766233766,0
338,2,0.24195680916703394,0
339,2,0.27699293642785067,1.0
340,2,0.2775530839231547,0
341,2,0.28834033613445376,0
342,2,0.23859191655801826,0
343,2,0.25195043597980726,0
344,2,0.24752028854824165,0
345,2,0.2369443245576176,0
346,3,0.26056003796867583,0
347,2,0.25594405594405595,0
348,2,0.23154787009700548,0
349,3,0.24563758389261744,0
350,2,0.22999581064097194,0
351,2,0.22408163265306122,0
352,2,0.2545201668984701,0
353,2,0.24026258205689277,0
354,2,0.25369685767097966,0
355,2,0.25786754344762797,0
356,3,0.2371490280777538,0
357,3,0.22808475280432072,0
358,2,0.24068391056554142,0
359,2,0.240052470485352,0
360,2,0.22961104140526975,0
361,3,0.24965893587994542,0
362,3,0.2503419972640219,0
363,2,0.31443298969072164,1.0
364,3,0.2884918549658434,0
365,2,0.25346260387811637,0
366,2,0.2268595041322314,0
367,2,0.23859191655801826,0
368,2,0.2844559585492228,0
369,3,0.2165680473372781,0
370,2,0.24195680916703394,0
371,2,0.24078947368421053,0
372,2,0.2517193947730399,0
373,3,0.23028523489932887,0
374,4,0.3036504424778761,0
375,2,0.304661487236404,0
376,2,0.25206611570247933,0
377,3,0.24541797049620026,0
378,3,0.2846034214618974,0
379,2,0.21924920127795527,0
380,2,0.24410849266340595,0
381,2,0.24206349206349206,0
382,3,0.22253749493311714,0
383,2,0.3028130170987314,0
384,3,0.24497991967871485,0
385,3,0.22128174123337363,0
386,2,0.2521819016995866,0
387,2,0.290169133192389,0
388,2,0.29707792207792205,0
389,4,0.22030497592295345,0
390,2,0.22941913915587128,0
391,2,0.2798165137614679,0
392,2,0.23243014394580863,0
393,4,0.305,0
394,2,0.2210144927536232,0
395,3,0.24476148016049934,0
396,2,0.23817787418655098,0
397,2,0.21287320666925164,0
398,3,0.2742257742257742,0
399,2,0.28834033613445376,1.0
400,3,0.3036504424778761,0
401,2,0.24249116607773852,0
402,2,0.25369685767097966,0
403,2,0.2756024096385542,0
404,2,0.3034825870646766,0
405,3,0.3014827018121911,0
406,2,0.2603129445234708,0
407,2,0.22110350382601693,0
408,2,0.305849582172702,0
409,2,0.24875396465790667,0
410,2,0.23471569046601112,0
411,2,0.2374567474048443,0
412,2,0.2720515361744301,0
413,2,0.2663755458515284,0
414,2,0.23582474226804123,0
415,2,0.29934569247546344,0
416,2,0.256902199344876,0
417,2,0.27084361124815,0
418,2,0.29062996294335625,0
419,2,0.21487279843444226,0
420,2,0.2764350453172205,0
421,2,0.2720515361744301,0
422,2,0.23911149825783973,0
423,2,0.2884918549658434,0
424,3,0.24864130434782608,0
425,2,0.2241731318905676,0
426,2,0.23341836734693877,0
427,2,0.2522977941176471,0
428,2,0.290169133192389,0
429,2,0.2764350453172205,0
430,2,0.277834008097166,0
431,2,0.23973799126637554,0
432,2,0.25534883720930235,0
433,2,0.30198019801980197,0
434,2,0.2675438596491228,0
435,2,0.24796747967479674,0
436,2,0.2898627243928194,0
437,2,0.25511152416356875,0
438,2,0.23461538461538461,0
439,2,0.20250829952047214,0
440,2,0.27574083375188346,0
441,2,0.27286282306163023,0
442,2,0.2691176470588235,0
443,2,0.22536945812807882,0
444,2,0.24954545454545454,0
445,3,0.22262773722627738,0
446,2,0.22181818181818183,0
447,2,0.2184639872662157,0
448,2,0.28879537085744345,0
449,2,0.2153785798352295,0
450,2,0.26018957345971566,0
451,2,0.28038815117466803,0
452,3,0.24629878869448182,0
453,3,0.2505705157462346,0
454,2,0.2571428571428571,0
455,2,0.23038187159043222,0
456,2,0.277834008097166,1.0
457,2,0.244543429844098,0
458,2,0.24909255898366606,0
459,3,0.2695139911634757,0
460,2,0.2403677758318739,0
461,2,0.26142857142857145,0
462,2,0.3028130170987314,0
463,2,0.25823142050799625,0
464,3,0.30181418361737217,0
465,2,0.23511777301927195,0
466,2,0.22190784155214227,0
467,2,0.27518796992481204,0
468,2,0.27518796992481204,0
469,2,0.27395209580838326,0
470,2,0.2697788697788698,0
471,4,0.29934569247546344,0
472,2,0.23018867924528302,0
473,2,0.26205250596658713,0
474,2,0.2754641244355243,0
475,2,0.22253749493311714,0
476,2,0.244543429844098,0
477,2,0.2173396674584323,0
478,3,0.26496138996138996,0
479,2,0.23391563698338305,0
480,2,0.2247237003683995,0
481,2,0.22163907953169157,1.0
482,2,0.23361702127659575,0
483,2,0.3014827018121911,0
484,2,0.2643235435724603,0
485,2,0.26056003796867583,0
486,2,0.28955696202531644,0
487,2,0.23076923076923078,0
488,2,0.24100087796312555,0
489,2,0.2815384615384615,0
490,2,0.2282744282744283,0
491,2,0.2501138952164009,0
492,2,0.2658595641646489,0
493,2,0.3038184836745988,1.0
494,3,0.2884918549658434,0
495,2,0.21237911025145068,0
496,2,0.23592608508809626,0
497,2,0.2786802030456853,0
498,2,0.2480795300497063,0
499,2,0.24015748031496062,0
